Bar,Day,Time,Address,Latitude,Longitude
Crown & Crow,Wed,7:30,"1317 14th St NW, Washington, DC 20005",38.907841,-77.031631
Thirsty Crow,Tues,8:00,"3400 11th St NW, Washington, DC 20010",38.93192,-77.02854
Bonchon (Navy Yard),Tues,7:00,"1015 Half St SE, Washington, DC 20003",38.878052,-77.007759
Across the Pond,Wed,7:30,"1732 Connecticut Ave NW, Washington, DC 20009",38.91362,-77.04611
Commonwealth Cantina,Wed,7:30,"3911 Georgia Ave NW, Washington, DC 20011",38.939129,-77.024567
Roofers Union,Thu,7:30,"2446 18th St NW, Washington, DC 20009",38.9218415,-77.0426414
Astro Beer Hall,Wed,7:00,"1306 G St NW, Washington, DC 20005",38.8981015,-77.0302259
The Eleanor (NoMa),Sun,7:30,"100 Florida Ave NE, Washington, DC 20002",38.9089425,-77.0039656
Capitol Cider House,Thu,7:00,"3930 Georgia Ave NW, Washington, DC 20011",38.93868637,-77.02468872
Lost & Found,Mon,8:00,"1240 9th St NW, Washington, DC 20001",38.9065187,-77.0240637
Franklin Hall,Mon,7:00,"1348 Florida Ave NW, Washington, DC 20009",38.91931152,-77.03429413
The Big Stick,Sun,7:00,"20 M St SE, Washington, DC 20003",38.8766859,-77.0078972
Stadium Sports,Wed,7:00,"300 Tingey St SE, Washington, DC 20003",38.87488556,-76.99998474
Hook Hall,Thu,7:00,"3400 Georgia Ave NW, Washington, DC 20010",38.932153,-77.023781
Free State,Sun,7:00,"501B G St NW, Washington, DC 20001",38.898318,-77.0153346
Irish Channel (Chinatown),Wed,7:00,"500 H St NW, Washington, DC 20001",38.899728,-77.019087
Penn Social,Tues,7:00,"801 E St NW, Washington, DC 20004",38.8963031,-77.0231869
Franklin Hall,Tues,7:00,"1348 Florida Ave NW, Washington, DC 20009",38.91931152,-77.03429413
Fainting Goat,Wed,7:00,"1330 U St NW, Washington, DC 20009",38.9169176,-77.0303922
Crimson,Tues,7:00,"627 H St NW, Washington, DC 20001",38.8998943,-77.0205128
Tap99,Mon,7:00,"1250 Half St SE, Washington, DC 20003",38.8748026,-77.0067895
